address_label,address_city
"⁧صواري فرع دريم لاند للمطابخ, طريق صاري, الربوة, 23446 جدة, السعودية⁩",اخري
"العامرية, الاسكندرية, مصر",اخري
"العامرية, الأردن",اخري
"فلمنج, شارع مسجد القباني, الاسكندرية, الاسكندرية, مصر",اخري
"البريد المصري-كامب شيزار, شارع الاسكندر الأكبر, الاسكندرية, الاسكندرية, مصر",اخري
"كرموز, الاسكندرية, مصر",اخري
"كوم الدكة, حارة علوة الحكيم, الاسكندرية, الاسكندرية, مصر",اخري
"بقالة لوران, شارع محمد درة بن الاميكان, الاسكندرية, الاسكندرية, مصر",اخري
"محرم بك, الاسكندرية, مصر",اخري
"شركة محطة الرمل للوازم الصيدليات وأدوات التجميل, شارع ابن زنكى, الاسكندرية, الاسكندرية, مصر",اخري
"محطة مصر للقطار, شارع محمود سلامة, الاسكندرية, الاسكندرية, مصر",اخري
"محطة النقراشي, شارع ملك حفني, الاسكندرية, الاسكندرية, مصر",اخري
"محطة المعمورة, شارع ابو قير, الاسكندرية, الاسكندرية, مصر",اخري
"محطة الطرح, طريق الأسكندرية رشيد, مركز كفر الدوار, البحيرة, مصر",اخري
"المعدية, طريق الأسكندرية رشيد, مركز إدكو, البحيرة, مصر",اخري
"محطة البصيلي, طريق الأسكندرية رشيد, مركز رشيد, البحيرة, مصر",اخري
"محطه قطار برج العرب, شارع المحطة, الاسكندرية, الاسكندرية, مصر",اخري
"محطة قطار, دمنهور, البحيرة, مصر",اخري
"محطة سكة حديد مطوبس, شارع المركز, مركز مطوبس, كفر الشيخ, مصر",اخري
"محطة كفر بني هلال, طريق كفر الشيخ-دسوق-دمنهور, مركز دمنهور, البحيرة, مصر",اخري
"محطة سكة حديد دسوق, دسوق, كفر الشيخ, مصر",اخري
"محطة قطار قلين, شارع الشهيد عبد الرافع الوكيل, مركز قلين, كفر الشيخ, مصر",اخري
"محطة كفر الزيات, مركز كفر الزيات, الغربية, مصر",اخري
"محطه سكه حديد الملك فؤاد, شارع الخلفاء الراشدين, كفر الشيخ, كفر الشيخ, مصر",اخري
"محطه سكه حديد كفر الشيخ, شارع النقراشى, كفر الشيخ, كفر الشيخ, مصر",اخري
"محطة سكة حديد سخا, مركز كفر الشيخ, كفر الشيخ, مصر",اخري
"محطة قطار قطور, طريق كفر الشيخ-طنطا, مركز قطور, الغربية, مصر",اخري
"محطه سكك حديد طنطا, شارع الامام الشافعي النحاس, طنطا, الغربية, مصر",اخري
"محطة سكة حديد تلا, شارع امتداد الحرية, مركز تلا, المنوفية, مصر",اخري
"محطة سكة حديد مركز الشهداء, مركز الشهداء, المنوفية, مصر",اخري
"شارع مساكن طوسون, الاسكندرية, الاسكندرية, مصر",اخري
"العامرية, كفرنجا الجديدة, الأردن",اخري
"منشية النزهة, شارع أبن واصل, الاسكندرية, الاسكندرية, مصر",اخري
"منشية النزهه, شارع أبو يوسف الكندي شيد, الاسكندرية, الاسكندرية, مصر",اخري
"منشية المصري, طرة, مصر",اخري
"ساحة الشهداء, شارع 17, بيروت, لبنان",اخري
"ميدان لبنان, محور 26 يوليو, كرداسة, الجيزة, مصر",اخري
"ميدان الشهداء, شارع 60, صيدا, لبنان",اخري
"ميدان الشهداء, الطريق الدائري الخامس السريع, الرميثية-قطعة 9 حولى, الكويت",اخري
"ميدان الشهداء, الاسكندرية, الاسكندرية, مصر",اخري
"ميدان الشهداء, المنزلة, الدقهلية, مصر",اخري
"مدينة الشهداء, مركز الشهداء, مصر",اخري
"⁧ميدان الشهداء, الظفير, الباحة, السعودية⁩",اخري
"المنزلة, مصر",اخري
"مركز دكرنس, مصر",اخري
"ميت غمر, مصر",اخري
"مركز جمصة, مصر",اخري
"أجا, مصر",اخري
"مركز بلقاس, مصر",اخري
"السنبلاوين, مصر",اخري
"مركز شربين, مصر",اخري
"مركز طلخا, مصر",اخري
"المنصورة, مصر",اخري
"مركز بني عبيد, مصر",اخري
"بني عبيد, مركز بني عبيد, مصر",اخري
"مركز منية النصر, مصر",اخري
"مركز ميت سلسبيل, مصر",اخري
"ميت سلسبيل, مركز ميت سلسبيل, مصر",اخري
"الكردي, مركز منية النصر, مصر",اخري
"طريق تمى الامديد-السنبلاوين, مركز تمي الامديد, الدقهلية, مصر",اخري
"مدرسة تمى الامديد الابتدائية المشتركة, مركز تمي الامديد, الدقهلية, مصر",اخري
"طريق تمى الامديد-السنبلاوين, السنبلاوين, الدقهلية, مصر",اخري
"قرية الشيخ تمى, مركز ابو قرقاص, مصر",اخري
"التمديد, شارع حسني متولي, العمرانية, الجيزة, مصر",اخري
"مركز تمي الامديد, مصر",اخري
"طريق تمى الامديد-السمبلاوين, السنبلاوين, الدقهلية, مصر",اخري
"مركز نبروه, مصر",اخري
"نبروة, مركز نبروه, مصر",اخري
